Rk.,Team,Division,Miles Traveled,Win Percentage,Home Win Perc,Road Win Perc,Wins,Home Wins,Away Wins
1,Padres,NL West,"51,690",0.6049382716,0.6419753086,0.5679012346,98,52,46
2,Dodgers,NL West,"49,131",0.5740740741,0.5555555556,0.5925925926,93,45,48
3,Mariners,AL West,"47,438",0.524691358,0.6049382716,0.4444444444,85,49,36
4,Giants,NL West,"45,904",0.4938271605,0.5185185185,0.4691358025,80,42,38
5,Athletics,AL West,"45,034",0.4259259259,0.4691358025,0.3827160494,69,38,31
6,Angels,AL West,"43,004",0.3888888889,0.3950617284,0.3827160494,63,32,31
7,D-backs,NL West,"41,664",0.549382716,0.5432098765,0.5555555556,89,44,45
8,Mets,NL East,"41,623",0.549382716,0.5679012346,0.5308641975,89,46,43
9,Marlins,NL East,"41,073",0.3827160494,0.3703703704,0.3950617284,62,30,32
10,Phillies,NL East,"38,118",0.5864197531,0.6666666667,0.5061728395,95,54,41
11,Astros,AL West,"37,859",0.5432098765,0.5679012346,0.5185185185,88,46,42
12,Rangers,AL West,"36,033",0.4814814815,0.5432098765,0.4197530864,78,44,34
13,Rockies,NL West,"34,250",0.3765432099,0.4567901235,0.2962962963,61,37,24
14,Rays,AL East,"33,754",0.4938271605,0.5185185185,0.4691358025,80,42,38
15,Red Sox,AL East,"33,525",0.5,0.4691358025,0.5308641975,81,38,43
16,Twins,AL Central,"32,910",0.5061728395,0.5308641975,0.4814814815,82,43,39
17,Blue Jays,AL East,"32,333",0.4567901235,0.4814814815,0.4320987654,74,39,35
18,Orioles,AL East,"32,049",0.5617283951,0.5432098765,0.5802469136,91,44,47
19,Braves,AL East,"31,867",0.549382716,0.5679012346,0.5308641975,89,46,43
20,Tigers,AL Central,"31,536",0.5,0.5308641975,0.4691358025,81,43,38
21,Yankees,AL East,"30,731",0.5802469136,0.5432098765,0.6172839506,94,44,50
22,White Sox,AL Central,"30,052",0.2530864198,0.2839506173,0.2222222222,41,23,18
23,Royals,AL Central,"30,019",0.5308641975,0.5555555556,0.5061728395,86,45,41
24,Brewers,NL Central,"28,818",0.5740740741,0.5802469136,0.5679012346,93,47,46
25,Nationals,NL East,"28,709",0.4382716049,0.4691358025,0.4074074074,71,38,33
26,Reds,NL Central,"27,802",0.475308642,0.4814814815,0.4691358025,77,39,38
27,Guardians,AL Central,"27,763",0.5679012346,0.6172839506,0.5185185185,92,50,42
28,Cubs,NL Central,"27,180",0.512345679,0.5432098765,0.4814814815,83,44,39
29,Cardinals,NL Central,"26,647",0.512345679,0.5432098765,0.4814814815,83,44,39
30,Pirates,NL Central,"25,389",0.4691358025,0.4814814815,0.4567901235,76,39,37